Interval #,Allocation Site,Resident Pages,Zero Pages,Dirty Pages,Clean Pages,Non-Zero Byte Count,Zero Byte Count,Total Uncompressed Resident Size,Total Uncompressed Dirty Size,Total Uncompressed Clean Size,Total Compressed Resident Size,Total Compressed Dirty Size,Total Compressed Clean Size
1,4CC464,1,0,0,1,1246.000000,194.000000,1440.000000,0.000000,1440.000000,812.000000,0.000000,812.000000
1,4CBCB5,1,0,0,1,10.000000,22.000000,32.000000,0.000000,32.000000,23.000000,0.000000,23.000000
1,7F3D0882F2A4,0,0,0,0,0.000000,8192.000000,8192.000000,0.000000,0.000000,0.000000,0.000000,0.000000
1,7F3D0882EADC,4,0,0,4,1067.000000,8725.000000,9792.000000,0.000000,1600.000000,646.000000,0.000000,646.000000
1,4CBD33,2,0,0,2,4.000000,60.000000,64.000000,0.000000,64.000000,28.000000,0.000000,28.000000
1,4D07CA,7,0,0,7,14.000000,210.000000,224.000000,0.000000,224.000000,94.000000,0.000000,94.000000
1,4CB9E4,12,0,0,12,223.000000,737.000000,960.000000,0.000000,960.000000,315.000000,0.000000,315.000000
1,4D0828,7,0,0,7,186.000000,262.000000,448.000000,0.000000,448.000000,270.000000,0.000000,270.000000
1,4CAE55,18,0,0,18,468.000000,684.000000,1152.000000,0.000000,1152.000000,696.000000,0.000000,696.000000
1,4CD982,26,0,0,26,22.000000,810.000000,832.000000,0.000000,832.000000,288.000000,0.000000,288.000000
1,4CBA4A,86,0,0,86,2206.000000,3298.000000,5504.000000,0.000000,5504.000000,3293.000000,0.000000,3293.000000
1,4CE972,2,0,0,2,8.000000,56.000000,64.000000,0.000000,64.000000,28.000000,0.000000,28.000000
1,4CD9D8,25,0,0,25,624.000000,976.000000,1600.000000,0.000000,1600.000000,964.000000,0.000000,964.000000
1,495385,1,0,0,1,0.000000,64.000000,64.000000,0.000000,64.000000,12.000000,0.000000,12.000000
1,4CF16C,12,0,0,12,24.000000,360.000000,384.000000,0.000000,384.000000,150.000000,0.000000,150.000000
1,7F3D0882F454,36,0,0,36,581.000000,1275.000000,1856.000000,0.000000,1856.000000,1110.000000,0.000000,1110.000000
1,4CAB3D,1,0,0,1,16.000000,48.000000,64.000000,0.000000,64.000000,31.000000,0.000000,31.000000
1,4CE9C8,8,0,0,8,165.000000,347.000000,512.000000,0.000000,512.000000,279.000000,0.000000,279.000000
1,4CAB57,1,0,0,1,17.000000,15.000000,32.000000,0.000000,32.000000,25.000000,0.000000,25.000000
1,4D0922,30,0,0,30,62.000000,898.000000,960.000000,0.000000,960.000000,391.000000,0.000000,391.000000
1,4D053A,5,0,0,5,58.000000,102.000000,160.000000,0.000000,160.000000,110.000000,0.000000,110.000000
1,4CBB0C,7,0,0,7,87.000000,137.000000,224.000000,0.000000,224.000000,176.000000,0.000000,176.000000
1,4CEDDF,1,0,0,1,22.000000,10.000000,32.000000,0.000000,32.000000,32.000000,0.000000,32.000000
1,4CF1CF,6,0,0,6,157.000000,227.000000,384.000000,0.000000,384.000000,232.000000,0.000000,232.000000
1,4D0D41,1,0,1,0,43.000000,65717.000000,65760.000000,224.000000,0.000000,53.000000,53.000000,0.000000
1,4D0978,31,0,0,31,814.000000,1170.000000,1984.000000,0.000000,1984.000000,1190.000000,0.000000,1190.000000
1,4D01A8,1,0,0,1,17.000000,15.000000,32.000000,0.000000,32.000000,32.000000,0.000000,32.000000
1,4D0599,5,0,0,5,131.000000,189.000000,320.000000,0.000000,320.000000,194.000000,0.000000,194.000000
1,4CBB93,26,0,0,26,209.000000,623.000000,832.000000,0.000000,832.000000,530.000000,0.000000,530.000000
1,4CC79B,2,0,0,2,12.000000,52.000000,64.000000,0.000000,64.000000,44.000000,0.000000,44.000000
1,4CEEB8,7,0,0,7,180.000000,268.000000,448.000000,0.000000,448.000000,261.000000,0.000000,261.000000
