Interval #,Allocation Site,Resident Pages,Zero Pages,Dirty Pages,Clean Pages,Non-Zero Byte Count,Zero Byte Count,Total Uncompressed Resident Size,Total Uncompressed Dirty Size,Total Uncompressed Clean Size,Total Compressed Resident Size,Total Compressed Dirty Size,Total Compressed Clean Size
46,402D6D,1,0,0,1,3.000000,29.000000,32.000000,0.000000,32.000000,13.000000,0.000000,13.000000
46,402D7A,1,0,0,1,0.000000,32.000000,32.000000,0.000000,32.000000,11.000000,0.000000,11.000000
46,402D87,1,0,0,1,5.000000,27.000000,32.000000,0.000000,32.000000,17.000000,0.000000,17.000000
46,402D94,1,0,0,1,10.000000,22.000000,32.000000,0.000000,32.000000,24.000000,0.000000,24.000000
47,40321C,999,0,0,999,11818.000000,20150.000000,31968.000000,0.000000,31968.000000,23969.000000,0.000000,23969.000000
47,402E7F,256,0,1,255,780914.000000,267662.000000,31844912.000000,4096.000000,1044480.000000,208660.000000,818.000000,207842.000000
47,7FAD6C4668E1,1,0,0,1,94.000000,2.000000,96.000000,0.000000,96.000000,93.000000,0.000000,93.000000
47,7FAD6C443ADC,1025,0,257,768,1373111.000000,2825289.000000,604641496.000000,1052672.000000,3145728.000000,614925.000000,254401.000000,360524.000000
47,7FAD6C184D7C,1,0,1,0,39.000000,185.000000,224.000000,224.000000,0.000000,66.000000,66.000000,0.000000
47,402D6D,1,0,0,1,3.000000,29.000000,32.000000,0.000000,32.000000,14.000000,0.000000,14.000000
47,402D7A,1,0,0,1,3.000000,29.000000,32.000000,0.000000,32.000000,14.000000,0.000000,14.000000
47,402D87,1,0,0,1,5.000000,27.000000,32.000000,0.000000,32.000000,17.000000,0.000000,17.000000
47,402D94,1,0,0,1,10.000000,22.000000,32.000000,0.000000,32.000000,24.000000,0.000000,24.000000
48,40321C,998,0,0,998,11806.000000,20130.000000,31936.000000,0.000000,31936.000000,23945.000000,0.000000,23945.000000
48,402E7F,256,0,1,255,780914.000000,267662.000000,31844912.000000,4096.000000,1044480.000000,208660.000000,818.000000,207842.000000
48,7FAD6C4668E1,1,0,0,1,94.000000,2.000000,96.000000,0.000000,96.000000,93.000000,0.000000,93.000000
48,7FAD6C443ADC,1025,0,257,768,1374597.000000,2823803.000000,604641496.000000,1052672.000000,3145728.000000,596622.000000,254401.000000,342221.000000
48,7FAD6C184D7C,1,0,1,0,39.000000,185.000000,224.000000,224.000000,0.000000,65.000000,65.000000,0.000000
48,402D6D,1,0,0,1,3.000000,29.000000,32.000000,0.000000,32.000000,14.000000,0.000000,14.000000
48,402D7A,1,0,0,1,3.000000,29.000000,32.000000,0.000000,32.000000,13.000000,0.000000,13.000000
48,402D87,1,0,0,1,5.000000,27.000000,32.000000,0.000000,32.000000,17.000000,0.000000,17.000000
48,402D94,1,0,0,1,10.000000,22.000000,32.000000,0.000000,32.000000,24.000000,0.000000,24.000000
49,7FAD6C4668E1,1,0,0,1,94.000000,2.000000,96.000000,0.000000,96.000000,93.000000,0.000000,93.000000
49,7FAD6C443ADC,1025,0,257,768,1431567.000000,2766833.000000,604641496.000000,1052672.000000,3145728.000000,840108.000000,287779.000000,552329.000000
49,7FAD6C184D7C,1,0,1,0,39.000000,185.000000,224.000000,224.000000,0.000000,65.000000,65.000000,0.000000
49,405449,1,0,0,1,0.000000,32.000000,32.000000,0.000000,32.000000,11.000000,0.000000,11.000000
49,40545F,1,0,0,1,0.000000,32.000000,32.000000,0.000000,32.000000,11.000000,0.000000,11.000000
49,405475,30,0,1,29,60486.000000,75866.000000,136352.000000,4096.000000,118784.000000,22470.000000,849.000000,21621.000000
50,40321C,999,0,0,999,11818.000000,20150.000000,31968.000000,0.000000,31968.000000,23969.000000,0.000000,23969.000000
50,402E7F,256,0,1,255,780914.000000,267662.000000,31840800.000000,4096.000000,1044480.000000,209158.000000,809.000000,208349.000000
50,7FAD6C4668E1,1,0,0,1,94.000000,2.000000,96.000000,0.000000,96.000000,93.000000,0.000000,93.000000
50,7FAD6C443ADC,1025,0,257,768,1445479.000000,2752921.000000,604641496.000000,1052672.000000,3145728.000000,759608.000000,253644.000000,505964.000000
50,7FAD6C184D7C,1,0,1,0,39.000000,185.000000,224.000000,224.000000,0.000000,65.000000,65.000000,0.000000
50,402D6D,1,0,0,1,3.000000,29.000000,32.000000,0.000000,32.000000,13.000000,0.000000,13.000000
50,402D7A,1,0,0,1,0.000000,32.000000,32.000000,0.000000,32.000000,11.000000,0.000000,11.000000
50,402D87,1,0,0,1,5.000000,27.000000,32.000000,0.000000,32.000000,17.000000,0.000000,17.000000
50,402D94,1,0,0,1,10.000000,22.000000,32.000000,0.000000,32.000000,24.000000,0.000000,24.000000
51,40321C,999,0,0,999,11818.000000,20150.000000,31968.000000,0.000000,31968.000000,23969.000000,0.000000,23969.000000
51,402E7F,256,0,1,255,780914.000000,267662.000000,31840800.000000,4096.000000,1044480.000000,209158.000000,809.000000,208349.000000
51,7FAD6C4668E1,1,0,0,1,94.000000,2.000000,96.000000,0.000000,96.000000,93.000000,0.000000,93.000000
51,7FAD6C443ADC,1025,0,257,768,1373405.000000,2824995.000000,604641496.000000,1052672.000000,3145728.000000,616009.000000,253644.000000,362365.000000
51,7FAD6C184D7C,1,0,1,0,39.000000,185.000000,224.000000,224.000000,0.000000,65.000000,65.000000,0.000000
51,402D6D,1,0,0,1,3.000000,29.000000,32.000000,0.000000,32.000000,14.000000,0.000000,14.000000
51,402D7A,1,0,0,1,3.000000,29.000000,32.000000,0.000000,32.000000,14.000000,0.000000,14.000000
51,402D87,1,0,0,1,5.000000,27.000000,32.000000,0.000000,32.000000,17.000000,0.000000,17.000000
51,402D94,1,0,0,1,10.000000,22.000000,32.000000,0.000000,32.000000,24.000000,0.000000,24.000000
52,40321C,998,0,0,998,11806.000000,20130.000000,31936.000000,0.000000,31936.000000,23945.000000,0.000000,23945.000000
52,402E7F,256,0,1,255,780914.000000,267662.000000,31840800.000000,4096.000000,1044480.000000,209158.000000,809.000000,208349.000000
52,7FAD6C4668E1,1,0,0,1,94.000000,2.000000,96.000000,0.000000,96.000000,93.000000,0.000000,93.000000
52,7FAD6C443ADC,1025,0,257,768,1374824.000000,2823576.000000,604641496.000000,1052672.000000,3145728.000000,606514.000000,253644.000000,352870.000000
52,7FAD6C184D7C,1,0,1,0,39.000000,185.000000,224.000000,224.000000,0.000000,66.000000,66.000000,0.000000
52,402D6D,1,0,0,1,3.000000,29.000000,32.000000,0.000000,32.000000,14.000000,0.000000,14.000000
52,402D7A,1,0,0,1,3.000000,29.000000,32.000000,0.000000,32.000000,13.000000,0.000000,13.000000
52,402D87,1,0,0,1,5.000000,27.000000,32.000000,0.000000,32.000000,17.000000,0.000000,17.000000
52,402D94,1,0,0,1,10.000000,22.000000,32.000000,0.000000,32.000000,24.000000,0.000000,24.000000
53,40321C,917,0,0,917,10847.000000,18497.000000,29344.000000,0.000000,29344.000000,22001.000000,0.000000,22001.000000
53,402E7F,256,0,1,255,780914.000000,267662.000000,31833848.000000,4096.000000,1044480.000000,209597.000000,812.000000,208785.000000
53,7FAD6C4668E1,1,0,0,1,94.000000,2.000000,96.000000,0.000000,96.000000,93.000000,0.000000,93.000000
53,7FAD6C443ADC,1025,0,257,768,1444862.000000,2753538.000000,604641496.000000,1052672.000000,3145728.000000,756952.000000,251249.000000,505703.000000
53,7FAD6C184D7C,1,0,1,0,39.000000,185.000000,224.000000,224.000000,0.000000,65.000000,65.000000,0.000000
53,402D6D,1,0,0,1,2.000000,30.000000,32.000000,0.000000,32.000000,13.000000,0.000000,13.000000
53,402D7A,1,0,0,1,0.000000,32.000000,32.000000,0.000000,32.000000,11.000000,0.000000,11.000000
53,402D87,1,0,0,1,5.000000,27.000000,32.000000,0.000000,32.000000,17.000000,0.000000,17.000000
53,402D94,1,0,0,1,10.000000,22.000000,32.000000,0.000000,32.000000,24.000000,0.000000,24.000000
54,40321C,999,0,0,999,11818.000000,20150.000000,31968.000000,0.000000,31968.000000,23969.000000,0.000000,23969.000000
54,402E7F,256,0,1,255,780914.000000,267662.000000,31833848.000000,4096.000000,1044480.000000,209597.000000,812.000000,208785.000000
54,7FAD6C4668E1,1,0,0,1,94.000000,2.000000,96.000000,0.000000,96.000000,93.000000,0.000000,93.000000
54,7FAD6C443ADC,1025,0,257,768,1444862.000000,2753538.000000,604641496.000000,1052672.000000,3145728.000000,756952.000000,251249.000000,505703.000000
54,7FAD6C184D7C,1,0,1,0,39.000000,185.000000,224.000000,224.000000,0.000000,65.000000,65.000000,0.000000
54,402D6D,1,0,0,1,3.000000,29.000000,32.000000,0.000000,32.000000,14.000000,0.000000,14.000000
54,402D7A,1,0,0,1,0.000000,32.000000,32.000000,0.000000,32.000000,11.000000,0.000000,11.000000
54,402D87,1,0,0,1,5.000000,27.000000,32.000000,0.000000,32.000000,17.000000,0.000000,17.000000
54,402D94,1,0,0,1,10.000000,22.000000,32.000000,0.000000,32.000000,24.000000,0.000000,24.000000
55,40321C,999,0,0,999,11818.000000,20150.000000,31968.000000,0.000000,31968.000000,23969.000000,0.000000,23969.000000
55,402E7F,256,0,1,255,780914.000000,267662.000000,31833848.000000,4096.000000,1044480.000000,209597.000000,812.000000,208785.000000
55,7FAD6C4668E1,1,0,0,1,94.000000,2.000000,96.000000,0.000000,96.000000,93.000000,0.000000,93.000000
55,7FAD6C443ADC,1025,0,257,768,1373573.000000,2824827.000000,604641496.000000,1052672.000000,3145728.000000,605375.000000,251249.000000,354126.000000
55,7FAD6C184D7C,1,0,1,0,39.000000,185.000000,224.000000,224.000000,0.000000,65.000000,65.000000,0.000000
55,402D6D,1,0,0,1,3.000000,29.000000,32.000000,0.000000,32.000000,14.000000,0.000000,14.000000
55,402D7A,1,0,0,1,3.000000,29.000000,32.000000,0.000000,32.000000,14.000000,0.000000,14.000000
55,402D87,1,0,0,1,5.000000,27.000000,32.000000,0.000000,32.000000,17.000000,0.000000,17.000000
55,402D94,1,0,0,1,10.000000,22.000000,32.000000,0.000000,32.000000,24.000000,0.000000,24.000000
56,40321C,998,0,0,998,11806.000000,20130.000000,31936.000000,0.000000,31936.000000,23945.000000,0.000000,23945.000000
56,402E7F,256,0,1,255,780914.000000,267662.000000,31833848.000000,4096.000000,1044480.000000,209597.000000,812.000000,208785.000000
56,7FAD6C4668E1,1,0,0,1,94.000000,2.000000,96.000000,0.000000,96.000000,93.000000,0.000000,93.000000
56,7FAD6C443ADC,1025,0,257,768,1374247.000000,2824153.000000,604641496.000000,1052672.000000,3145728.000000,589187.000000,251249.000000,337938.000000
56,7FAD6C184D7C,1,0,1,0,39.000000,185.000000,224.000000,224.000000,0.000000,66.000000,66.000000,0.000000
56,402D6D,1,0,0,1,3.000000,29.000000,32.000000,0.000000,32.000000,14.000000,0.000000,14.000000
56,402D7A,1,0,0,1,3.000000,29.000000,32.000000,0.000000,32.000000,13.000000,0.000000,13.000000
56,402D87,1,0,0,1,5.000000,27.000000,32.000000,0.000000,32.000000,17.000000,0.000000,17.000000
56,402D94,1,0,0,1,10.000000,22.000000,32.000000,0.000000,32.000000,24.000000,0.000000,24.000000
57,40321C,434,0,0,434,5128.000000,8760.000000,13888.000000,0.000000,13888.000000,10409.000000,0.000000,10409.000000
57,402E7F,256,0,1,255,780914.000000,267662.000000,31829800.000000,4096.000000,1044480.000000,210066.000000,823.000000,209243.000000
57,7FAD6C4668E1,1,0,0,1,94.000000,2.000000,96.000000,0.000000,96.000000,93.000000,0.000000,93.000000
57,7FAD6C443ADC,1025,0,257,768,1445432.000000,2752968.000000,604641496.000000,1052672.000000,3145728.000000,755080.000000,249993.000000,505087.000000
57,7FAD6C184D7C,1,0,1,0,39.000000,185.000000,224.000000,224.000000,0.000000,65.000000,65.000000,0.000000
57,402D6D,1,0,0,1,2.000000,30.000000,32.000000,0.000000,32.000000,12.000000,0.000000,12.000000
57,402D7A,1,0,0,1,0.000000,32.000000,32.000000,0.000000,32.000000,11.000000,0.000000,11.000000
57,402D87,1,0,0,1,5.000000,27.000000,32.000000,0.000000,32.000000,17.000000,0.000000,17.000000
57,402D94,1,0,0,1,10.000000,22.000000,32.000000,0.000000,32.000000,24.000000,0.000000,24.000000
58,40321C,999,0,0,999,11818.000000,20150.000000,31968.000000,0.000000,31968.000000,23969.000000,0.000000,23969.000000
58,402E7F,256,0,1,255,780914.000000,267662.000000,31829800.000000,4096.000000,1044480.000000,210066.000000,823.000000,209243.000000
58,7FAD6C4668E1,1,0,0,1,94.000000,2.000000,96.000000,0.000000,96.000000,93.000000,0.000000,93.000000
58,7FAD6C443ADC,1025,0,257,768,1445432.000000,2752968.000000,604641496.000000,1052672.000000,3145728.000000,755080.000000,249993.000000,505087.000000
58,7FAD6C184D7C,1,0,1,0,39.000000,185.000000,224.000000,224.000000,0.000000,65.000000,65.000000,0.000000
58,402D6D,1,0,0,1,3.000000,29.000000,32.000000,0.000000,32.000000,13.000000,0.000000,13.000000
58,402D7A,1,0,0,1,0.000000,32.000000,32.000000,0.000000,32.000000,11.000000,0.000000,11.000000
58,402D87,1,0,0,1,5.000000,27.000000,32.000000,0.000000,32.000000,17.000000,0.000000,17.000000
58,402D94,1,0,0,1,10.000000,22.000000,32.000000,0.000000,32.000000,24.000000,0.000000,24.000000
59,40321C,999,0,0,999,11818.000000,20150.000000,31968.000000,0.000000,31968.000000,23969.000000,0.000000,23969.000000
59,402E7F,256,0,1,255,780914.000000,267662.000000,31829800.000000,4096.000000,1044480.000000,210066.000000,823.000000,209243.000000
59,7FAD6C4668E1,1,0,0,1,94.000000,2.000000,96.000000,0.000000,96.000000,93.000000,0.000000,93.000000
59,7FAD6C443ADC,1025,0,257,768,1373558.000000,2824842.000000,604641496.000000,1052672.000000,3145728.000000,601713.000000,249993.000000,351720.000000
59,7FAD6C184D7C,1,0,1,0,39.000000,185.000000,224.000000,224.000000,0.000000,65.000000,65.000000,0.000000
59,402D6D,1,0,0,1,3.000000,29.000000,32.000000,0.000000,32.000000,14.000000,0.000000,14.000000
59,402D7A,1,0,0,1,3.000000,29.000000,32.000000,0.000000,32.000000,13.000000,0.000000,13.000000
59,402D87,1,0,0,1,5.000000,27.000000,32.000000,0.000000,32.000000,17.000000,0.000000,17.000000
59,402D94,1,0,0,1,10.000000,22.000000,32.000000,0.000000,32.000000,24.000000,0.000000,24.000000
60,40321C,998,0,0,998,11806.000000,20130.000000,31936.000000,0.000000,31936.000000,23945.000000,0.000000,23945.000000
60,402E7F,256,0,1,255,780914.000000,267662.000000,31829800.000000,4096.000000,1044480.000000,210066.000000,823.000000,209243.000000
60,7FAD6C4668E1,1,0,0,1,94.000000,2.000000,96.000000,0.000000,96.000000,93.000000,0.000000,93.000000
60,7FAD6C443ADC,1025,0,257,768,1374416.000000,2823984.000000,604641496.000000,1052672.000000,3145728.000000,606652.000000,249993.000000,356659.000000
60,7FAD6C184D7C,1,0,1,0,39.000000,185.000000,224.000000,224.000000,0.000000,65.000000,65.000000,0.000000
60,402D6D,1,0,0,1,3.000000,29.000000,32.000000,0.000000,32.000000,14.000000,0.000000,14.000000
60,402D7A,1,0,0,1,3.000000,29.000000,32.000000,0.000000,32.000000,14.000000,0.000000,14.000000
60,402D87,1,0,0,1,5.000000,27.000000,32.000000,0.000000,32.000000,17.000000,0.000000,17.000000
60,402D94,1,0,0,1,10.000000,22.000000,32.000000,0.000000,32.000000,24.000000,0.000000,24.000000
61,40321C,999,0,0,999,11818.000000,20150.000000,31968.000000,0.000000,31968.000000,23969.000000,0.000000,23969.000000
61,402E7F,256,0,1,255,780914.000000,267662.000000,31828432.000000,4096.000000,1044480.000000,210074.000000,823.000000,209251.000000
61,7FAD6C4668E1,1,0,0,1,94.000000,2.000000,96.000000,0.000000,96.000000,93.000000,0.000000,93.000000
61,7FAD6C443ADC,1025,0,257,768,1445179.000000,2753221.000000,604641496.000000,1052672.000000,3145728.000000,752597.000000,249476.000000,503121.000000
61,7FAD6C184D7C,1,0,1,0,39.000000,185.000000,224.000000,224.000000,0.000000,66.000000,66.000000,0.000000
61,402D6D,1,0,0,1,3.000000,29.000000,32.000000,0.000000,32.000000,13.000000,0.000000,13.000000
